Index,Public Vehicle Number,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,Address,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID
451,16,INACTIVE,CINDERELLA,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,16Horse Drawn Carriage
797,20,INACTIVE,TROYER,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,20Horse Drawn Carriage
867,47,INACTIVE,KIMBALL,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,47Horse Drawn Carriage
1294,32,INACTIVE,,,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,32Horse Drawn Carriage
1351,11,INACTIVE,YODER,LANDAU,1989,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,11Horse Drawn Carriage
1963,59,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,"STEP-IN-TIME CARRIAGE, LTD",1541 N. WELLS ST.,CHICAGO,IL,60610,,,59Horse Drawn Carriage
2118,43,INACTIVE,SCHWARTZ,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,43Horse Drawn Carriage
2429,45,INACTIVE,SCHWARTZ,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,45Horse Drawn Carriage
2513,1,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,1Horse Drawn Carriage
2555,33,INACTIVE,MILLER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,33Horse Drawn Carriage
2765,24,INACTIVE,MARTIN,VIS-A-VIS,2010,WHITE,Horse,N,GREAT LAKES HORSE AND CARRIAGE LLC,2844 N. HARDING AVE.,CHICAGO,IL,60618,,,24Horse Drawn Carriage
2918,44,INACTIVE,MILLER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,44Horse Drawn Carriage
2985,19,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,19Horse Drawn Carriage
4288,28,INACTIVE,MARTIN,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,28Horse Drawn Carriage
4305,29,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,29Horse Drawn Carriage
5002,39,INACTIVE,MILLER,LANDAU,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,39Horse Drawn Carriage
5279,57,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,ROYAL CARRIAGE LIMITED.,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,57Horse Drawn Carriage
5302,15,INACTIVE,SCHROCK,VIS-A-VIS,,WHITE,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,15Horse Drawn Carriage
5721,34,INACTIVE,SCHROCK,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,34Horse Drawn Carriage
5882,55,INACTIVE,MARTIN,VIS-A-VIS,,BLACK,Horse,N,GOLD COAST HORSE & CARRIAGE,2026 W. CARROLL AVE.,CHICAGO,IL,60612,,,55Horse Drawn Carriage
6107,58,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,ROYAL CARRIAGE LIMITED.,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,58Horse Drawn Carriage
6393,48,INACTIVE,MARTIN,VIS-A-VIS,1995,BLACK,Horse,N,GREAT LAKES HORSE AND CARRIAGE LLC,2844 N. HARDING AVE.,CHICAGO,IL,60618,,,48Horse Drawn Carriage
7317,38,INACTIVE,SCHROCK,VIS-A-VIS,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,38Horse Drawn Carriage
7813,42,INACTIVE,ANDERSON,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,42Horse Drawn Carriage
7908,31,INACTIVE,MILLER,LANDAU,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,31Horse Drawn Carriage
7991,46,INACTIVE,KIMBALL,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,46Horse Drawn Carriage
7993,30,INACTIVE,MILLER,LANDAU,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,30Horse Drawn Carriage
8202,25,INACTIVE,MILLER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,25Horse Drawn Carriage
9108,26,INACTIVE,ANDERSON,VIS-A-VIS,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,26Horse Drawn Carriage
9321,40,INACTIVE,YODER,COACH,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,40Horse Drawn Carriage
9464,22,INACTIVE,VICTORIA,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,22Horse Drawn Carriage
9806,17,INACTIVE,YODER,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,17Horse Drawn Carriage
10033,35,INACTIVE,,,,,Horse,N,COACH HORSE LIVERY LIMITED,1410 N. ORLEANS ST.,CHICAGO,IL,60610,,,35Horse Drawn Carriage
10218,3,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,3Horse Drawn Carriage
10433,8,INACTIVE,TROYER,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,8Horse Drawn Carriage
10467,13,INACTIVE,MARTIN,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,13Horse Drawn Carriage
11005,14,INACTIVE,SCHROCK,VIS-A-VIS,,,Horse,N,CHICAGO HORSE & CARRIAGE LTD,990 N. LAKE SHORE DR.,CHICAGO,IL,60611,,,14Horse Drawn Carriage
11146,5,INACTIVE,MARTIN,VIS-A-VIS,2015,,Horse,N,ANTIQUE COACH & CARRIAGE CO,1621 W. BERWYN AVE.,CHICAGO,IL,60640,,,5Horse Drawn Carriage
